Episode,Season,Title,Primary Scope,Format,Lab Note
EP-01,S1,Welcome to the Toast Rack,"Network components, LAN/WAN/SOHO, topology basics",Story session,Optional separate lab where applicable
EP-02,S1,What Actually Moves?,"OSI, TCP/IP, encapsulation",Story session,Optional separate lab where applicable
EP-03,S1,The Payment Terminal Problem,"On-premises, cloud, endpoints, servers, firewalls, APs",Story session,Optional separate lab where applicable
EP-04,S1,"Copper, Fibre and the Mystery Cable","Cabling, interfaces, PoE",Story session,Optional separate lab where applicable
EP-05,S1,"Fast, Slow, or Half-Asleep","Speed, duplex, collisions, errors",Story session,Optional separate lab where applicable
EP-06,S1,"TCP Waits, UDP Sends",TCP versus UDP,Story session,Optional separate lab where applicable
EP-07,S1,Your First Cisco Prompt,"IOS modes, CLI navigation, secure basic management",Story session,Optional separate lab where applicable
EP-08,S1,How the Switch Remembers,"MAC learning, flooding, forwarding, aging",Story session,Optional separate lab where applicable
EP-09,S1,The First Small Network,Season integration and review,Story session,Optional separate lab where applicable
EP-10,S2,Addresses on the Menu,IPv4 structure and private ranges,Story session,Optional separate lab where applicable
EP-11,S2,Binary Without Tears,Binary and mask foundations,Story session,Optional separate lab where applicable
EP-12,S2,Finding the Subnet,"Subnet ID, broadcast, host range",Story session,Optional separate lab where applicable
EP-13,S2,How Many Tables?,Subnet sizing and VLSM,Story session,Optional separate lab where applicable
EP-14,S2,Who Is Local?,"Default gateway, ARP, local/remote decisions",Story session,Optional separate lab where applicable
EP-15,S2,Client Settings Gone Wrong,"Windows, macOS, Linux IP checks",Story session,Optional separate lab where applicable
EP-16,S2,IPv6 Is Not Just Longer,"IPv6 format, prefixes, global and unique-local",Story session,Optional separate lab where applicable
EP-17,S2,IPv6 Address Personalities,"Link-local, multicast, anycast, EUI-64",Story session,Optional separate lab where applicable
EP-18,S2,The Addressing Review,Season integration and subnetting review,Story session,Optional separate lab where applicable
EP-19,S3,The Croissant Contract,Campus requirements and VLAN purpose,Story session,Optional separate lab where applicable
EP-20,S3,"One Switch, Many Networks","Access VLANs, default VLAN, voice VLANs",Story session,Optional separate lab where applicable
EP-21,S3,The Tagged Hallway,"Trunks, 802.1Q, native VLAN",Story session,Optional separate lab where applicable
EP-22,S3,Crossing Between VLANs,Router-on-a-stick and SVIs,Story session,Optional separate lab where applicable
EP-23,S3,Who Is Connected Here?,CDP and LLDP,Story session,Optional separate lab where applicable
EP-24,S3,The Loop That Ate Lunch,"STP purpose, root election, port roles",Story session,Optional separate lab where applicable
EP-25,S3,Rapid Recovery,"Rapid PVST+, states, alternate ports",Story session,Optional separate lab where applicable
EP-26,S3,"Fast Edge, Safe Edge","PortFast, BPDU Guard, Root Guard, Loop Guard, BPDU Filter",Story session,Optional separate lab where applicable
EP-27,S3,"Two Links, One Logical Road","Layer 2 and Layer 3 EtherChannel, LACP",Story session,Optional separate lab where applicable
EP-28,S3,Campus Switching Review,Season integration and review,Story session,Optional separate lab where applicable
EP-29,S4,The Second Campus,Routing table components and gateway of last resort,Story session,Optional separate lab where applicable
EP-30,S4,The Most Specific Route Wins,Longest prefix match,Story session,Optional separate lab where applicable
EP-31,S4,Trust Before Distance,Administrative distance and metrics,Story session,Optional separate lab where applicable
